,language,link,symbol
64,emilian_romagnol,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.eml.vec,eml
65,english,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.en.vec,en
66,erzya,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.myv.vec,myv
67,esperanto,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.eo.vec,eo
68,estonian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.et.vec,et
69,ewe,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ee.vec,ee
70,extremaduran,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ext.vec,ext
71,faroese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fo.vec,fo
72,fiji hindi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hif.vec,hif
73,fijian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fj.vec,fj
74,finnish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fi.vec,fi
75,franco_provençal,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.frp.vec,frp
76,french,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fr.vec,fr
77,friulian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fur.vec,fur
78,fula,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ff.vec,ff
79,gagauz,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gag.vec,gag
80,galician,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gl.vec,gl
81,gan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gan.vec,gan
82,georgian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ka.vec,ka
83,german,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.de.vec,de
84,gilaki,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.glk.vec,glk
85,goan konkani,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gom.vec,gom
86,gothic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.got.vec,got
87,greek,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.el.vec,el
88,greenlandic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kl.vec,kl
89,guarani,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gn.vec,gn
